filename,risk_sum
Brusko_12234_TCRB.tsv,-0.06008939954217348
Brusko_12236_TCRB.tsv,-0.06249109216255528
Brusko_12333_TCRB.tsv,-0.06190861479131747
Brusko_12377_TCRB.tsv,-0.07029073037127231
Brusko_12415_TCRB.tsv,-0.06777657647500773
Brusko_12417_TCRB.tsv,-0.06367415726109696
Brusko_12419_TCRB.tsv,-0.05936293522661069
Brusko_12422_TCRB.tsv,-0.06611207767872357
Brusko_12425_TCRB.tsv,-0.06843088923556954
Brusko_12426_TCRB.tsv,-0.05573474580047242
Brusko_12439_TCRB.tsv,-0.07479987262769104
Brusko_12443_TCRB.tsv,-0.07093751443055714
Brusko_12450_TCRB.tsv,-0.06348160029498554
Brusko_12463_TCRB.tsv,-0.06976185495858969
Brusko_12465_TCRB.tsv,-0.06527541560490295
Brusko_12468_TCRB.tsv,-0.06856184924077949
Brusko_12471_TCRB.tsv,-0.07122019414109888
Brusko_12527_TCRB.tsv,-0.06451312019060358
Brusko_12618_TCRB.tsv,-0.06305839012345771
Brusko_12718_TCRB.tsv,-0.07249804240110586
Brusko_12720_TCRB.tsv,-0.05899871170532976
Brusko_12722_TCRB.tsv,-0.05729241820675289
Brusko_12725_TCRB.tsv,-0.06084550558764795
Brusko_12728_TCRB.tsv,-0.08145436122810183
Brusko_12729_TCRB.tsv,-0.05998452603971551
Brusko_12730_TCRB.tsv,-0.06877732931463847
Brusko_12743_TCRB.tsv,-0.07571363246864558
Brusko_12760_TCRB.tsv,-0.06384393117270361
Brusko_12763_TCRB.tsv,-0.06895780368971419
Brusko_13022_TCRB.tsv,-0.07757666139597705
Brusko_13047_TCRB.tsv,-0.0740117772389988
Brusko_13053_TCRB.tsv,-0.0720448299227544
Brusko_1306_TCRB.tsv,-0.07033496391752503
Brusko_1307_TCRB.tsv,-0.06594061299647416
Brusko_1308_TCRB.tsv,-0.06770281734230647
Brusko_13182_TCRB.tsv,-0.07181802809573337
Brusko_13187_TCRB.tsv,-0.0693533277404917
Brusko_13203_TCRB.tsv,-0.06746979836979938
Brusko_13208_TCRB.tsv,-0.07317781618786569
Brusko_13234_TCRB.tsv,-0.07269062560715069
Brusko_13247_TCRB.tsv,-0.0698373552631586
Brusko_13249_TCRB.tsv,-0.05822638629698841
Brusko_1329_TCRB.tsv,-0.0628675480258036
Brusko_13352_TCRB.tsv,-0.07432945034642142
Brusko_13353_TCRB.tsv,-0.07719431074316653
Brusko_13371_TCRB.tsv,-0.07362257828751298
Brusko_13432_TCRB.tsv,-0.07202517749446588
Brusko_13437_TCRB.tsv,-0.07474710431654563
Brusko_13440_TCRB.tsv,-0.05741323461891691
Brusko_13528_TCRB.tsv,-0.077392017239765
Brusko_13718_TCRB.tsv,-0.05579960047216983
Brusko_1374_TCRB.tsv,-0.06556310723897192
Brusko_1375_TCRB.tsv,-0.07010054619674584
Brusko_1376_TCRB.tsv,-0.06663862680990303
Brusko_1378_TCRB.tsv,-0.06367048315369031
Brusko_13827_TCRB.tsv,-0.06803176312247729
Brusko_13981_TCRB.tsv,-0.0673459228613378
Brusko_13986_TCRB.tsv,-0.06170523988503225
Brusko_13991_TCRB.tsv,-0.06574878773658818
Brusko_13995_TCRB.tsv,-0.05754022836339629
Brusko_13996_TCRB.tsv,-0.0594377890450959
Brusko_13999_TCRB.tsv,-0.059782903200191716
Brusko_14142_TCRB.tsv,-0.06058602719539247
Brusko_14144_TCRB.tsv,-0.07031368601413626
Brusko_14269_TCRB.tsv,-0.07448364791987715
Brusko_1429_TCRB.tsv,-0.05754678871090851
Brusko_1432_TCRB.tsv,-0.06068521749815768
Brusko_14390_TCRB.tsv,-0.0720200106818592
Brusko_14392_TCRB.tsv,-0.06456136748729276
Brusko_14396_TCRB.tsv,-0.06862469565217269
Brusko_14440_TCRB.tsv,-0.07254238765449825
Brusko_14443_TCRB.tsv,-0.0711671128187788
Brusko_14445_TCRB.tsv,-0.0656532664736219
Brusko_14447_TCRB.tsv,-0.06741495741352437
Brusko_14510_TCRB.tsv,-0.07304561824729926
Brusko_14550_TCRB.tsv,-0.05741536946400927
Brusko_14552_TCRB.tsv,-0.06774407993027952
Brusko_14555_TCRB.tsv,-0.0746531732056078
Brusko_14617_TCRB.tsv,-0.06935836035624438
Brusko_14625_TCRB.tsv,-0.06833149761168882
Brusko_14657_TCRB.tsv,-0.07354258421317261
Brusko_14659_TCRB.tsv,-0.06034670563614149
Brusko_14661_TCRB.tsv,-0.06170823234433816
Brusko_14663_TCRB.tsv,-0.05558739366334072
Brusko_14671_TCRB.tsv,-0.06368872735664073
Brusko_14673_TCRB.tsv,-0.05577475621379967
Brusko_14699_TCRB.tsv,-0.06460243994806335
Brusko_14701_TCRB.tsv,-0.0771509653530819
Brusko_14710_TCRB.tsv,-0.06635655572200953
Brusko_14714_TCRB.tsv,-0.06919015702017305
Brusko_14717_TCRB.tsv,-0.060858092349527174
Brusko_14719_TCRB.tsv,-0.0629793024421695
Brusko_14720_TCRB.tsv,-0.06634211339513689
Brusko_1488_TCRB.tsv,-0.0706809196218533
Brusko_1491_TCRB.tsv,-0.06475643705463198
Brusko_14934_TCRB.tsv,-0.06471536111591467
Brusko_1493_TCRB.tsv,-0.06609971065840009
Brusko_14940_TCRB.tsv,-0.06251994861371933
Brusko_14941_TCRB.tsv,-0.07029373488796935
Brusko_14944_TCRB.tsv,-0.06385361022364237
Brusko_1495_TCRB.tsv,-0.05913956967891521
Brusko_1499_TCRB.tsv,-0.0701498722986257
Brusko_15050_TCRB.tsv,-0.05445565149136684
Brusko_15051_TCRB.tsv,-0.06382642533358948
Brusko_15059_TCRB.tsv,-0.06403154879811551
Brusko_15063_TCRB.tsv,-0.07189270062996503
Brusko_1506_TCRB.tsv,-0.06913769868834915
Brusko_15114_TCRB.tsv,-0.06898789007259278
Brusko_15117_TCRB.tsv,-0.07553541496820439
Brusko_15120_TCRB.tsv,-0.06602511339442865
Brusko_15127_TCRB.tsv,-0.06676197420634876
Brusko_1522_TCRB.tsv,-0.0656986482616419
Brusko_1523_TCRB.tsv,-0.06025296437313076
Brusko_15273_TCRB.tsv,-0.07309239144037052
Brusko_1546_TCRB.tsv,-0.07206948963929288
Brusko_1547_TCRB.tsv,-0.06170661117717116
Brusko_1549_TCRB.tsv,-0.06178731218697944
Brusko_15586_TCRB.tsv,-0.06003785114393357
Brusko_15587_TCRB.tsv,-0.055734565847376495
Brusko_15588_TCRB.tsv,-0.061768059299192074
Brusko_1573_TCRB.tsv,-0.0646471610355431
Brusko_1576_TCRB.tsv,-0.07152385437420758
Brusko_15776_TCRB.tsv,-0.06971708386748623
Brusko_15779_TCRB.tsv,-0.06886879123109681
Brusko_1577_TCRB.tsv,-0.06828227582590557
Brusko_15782_TCRB.tsv,-0.07304391020408228
Brusko_15790_TCRB.tsv,-0.07215267038660875
Brusko_15793_TCRB.tsv,-0.06408548597521276
Brusko_15796_TCRB.tsv,-0.07088444710818233
Brusko_15859_TCRB.tsv,-0.06941942176224747
Brusko_15862_TCRB.tsv,-0.07129620143170291
Brusko_15874_TCRB.tsv,-0.059874439960227344
Brusko_1592_TCRB.tsv,-0.0645455014470877
Brusko_15966_TCRB.tsv,-0.07368252306299133
Brusko_15969_TCRB.tsv,-0.07150949043168706
Brusko_15972_TCRB.tsv,-0.07035056409259016
Brusko_1598_TCRB.tsv,-0.063209766304348
Brusko_1600_TCRB.tsv,-0.06805118601747885
Brusko_16067_TCRB.tsv,-0.06121242128261278
Brusko_16071_TCRB.tsv,-0.06216211634775957
Brusko_16084_TCRB.tsv,-0.06365601710803895
Brusko_16173_TCRB.tsv,-0.06369616249834664
Brusko_16174_TCRB.tsv,-0.06232681773098419
Brusko_16177_TCRB.tsv,-0.06795445213122138
Brusko_16178_TCRB.tsv,-0.06617175304949194
Brusko_16179_TCRB.tsv,-0.06647881445890882
Brusko_16180_TCRB.tsv,-0.06804995353159854
Brusko_16182_TCRB.tsv,-0.06461830877023383
Brusko_16184_TCRB.tsv,-0.05871126699029118
Brusko_16186_TCRB.tsv,-0.07739508328601043
Brusko_16189_TCRB.tsv,-0.05609049755484771
Brusko_16191_TCRB.tsv,-0.06633532828965238
Brusko_16201_TCRB.tsv,-0.06419704586911021
Brusko_16243_TCRB.tsv,-0.0672557255030272
Brusko_16268_TCRB.tsv,-0.07803998786775848
Brusko_16271_TCRB.tsv,-0.06536837706412701
Brusko_16319_TCRB.tsv,-0.07116453917050679
Brusko_16331_TCRB.tsv,-0.06445506360211856
Brusko_16348_TCRB.tsv,-0.06633595686463842
Brusko_1634_TCRB.tsv,-0.05965650947653496
Brusko_16356_TCRB.tsv,-0.07559422490082299
Brusko_16380_TCRB.tsv,-0.06413609102244451
Brusko_16388_TCRB.tsv,-0.06091639965194251
Brusko_16391_TCRB.tsv,-0.07412195372472626
Brusko_16400_TCRB.tsv,-0.06784839946329255
Brusko_16412_TCRB.tsv,-0.07428803498325368
Brusko_16439_TCRB.tsv,-0.06840676126878115
Brusko_16440_TCRB.tsv,-0.0666677737947188
Brusko_16450_TCRB.tsv,-0.06698291215964171
Brusko_16530_TCRB.tsv,-0.060615225995602505
Brusko_16571_TCRB.tsv,-0.06423200287021329
Brusko_16619_TCRB.tsv,-0.05801050883285619
Brusko_16621_TCRB.tsv,-0.07011826490860147
Brusko_16623_TCRB.tsv,-0.07319935156214426
Brusko_16624_TCRB.tsv,-0.0666035080829907
Brusko_16626_TCRB.tsv,-0.06432252951948017
Brusko_16659_TCRB.tsv,-0.07190295324588038
Brusko_1667_TCRB.tsv,-0.06665541365625285
Brusko_1668_TCRB.tsv,-0.061150329588711305
Brusko_16911_TCRB.tsv,-0.0761616141183041
Brusko_16914_TCRB.tsv,-0.06995738398802462
Brusko_16917_TCRB.tsv,-0.07053532356095896
Brusko_16919_TCRB.tsv,-0.06465883634778749
Brusko_16929_TCRB.tsv,-0.07635682391662003
Brusko_16932_TCRB.tsv,-0.07766793909500429
Brusko_16941_TCRB.tsv,-0.06870527386423647
Brusko_16947_TCRB.tsv,-0.06652732836615297
Brusko_16962_TCRB.tsv,-0.07676583906915807
Brusko_17029_TCRB.tsv,-0.07173291526906882
Brusko_17155_TCRB.tsv,-0.05863446317962932
Brusko_17180_TCRB.tsv,-0.06050149317772316
Brusko_17195_TCRB.tsv,-0.06395142982040582
Brusko_17206_TCRB.tsv,-0.05531329515661733
Brusko_17252_TCRB.tsv,-0.06306837961044393
Brusko_17253_TCRB.tsv,-0.06743878091872807
Brusko_17256_TCRB.tsv,-0.06628719131353981
Brusko_17273_TCRB.tsv,-0.06981966911764652
Brusko_17275_TCRB.tsv,-0.07377612177066048
Brusko_17326_TCRB.tsv,-0.062199496221663035
Brusko_17329_TCRB.tsv,-0.07270396561286604
Brusko_17332_TCRB.tsv,-0.07086868513212399
Brusko_17333_TCRB.tsv,-0.06708212155637684
Brusko_17379_TCRB.tsv,-0.05826306011869022
Brusko_1743_TCRB.tsv,-0.0644695271453598
Brusko_1744_TCRB.tsv,-0.06407363803842556
Brusko_17471_TCRB.tsv,-0.055644474290100776
Brusko_17491_TCRB.tsv,-0.06308362799709252
Brusko_17575_TCRB.tsv,-0.07029892608591351
Brusko_17576_TCRB.tsv,-0.08073361764705768
Brusko_17577_TCRB.tsv,-0.0824133824373428
Brusko_17623_TCRB.tsv,-0.0673408530755339
Brusko_17653_TCRB.tsv,-0.06617584091237266
Brusko_1765_TCRB.tsv,-0.0573300722683639
Brusko_17664_TCRB.tsv,-0.06794159130312521
Brusko_17673_TCRB.tsv,-0.06907108053343373
Brusko_17717_TCRB.tsv,-0.06184211334386953
Brusko_17718_TCRB.tsv,-0.05870724539084406
Brusko_17719_TCRB.tsv,-0.06481876719179838
Brusko_17730_TCRB.tsv,-0.060828410988011325
Brusko_17734_TCRB.tsv,-0.06181535282699961
Brusko_17737_TCRB.tsv,-0.06523190582044153
Brusko_17857_TCRB.tsv,-0.06858414232825967
Brusko_18320_TCRB.tsv,-0.06681360917737134
Brusko_18323_TCRB.tsv,-0.06441602564102634
Brusko_18325_TCRB.tsv,-0.06407049143116571
Brusko_18331_TCRB.tsv,-0.06455391421075156
Brusko_18333_TCRB.tsv,-0.06100530361260662
Brusko_18336_TCRB.tsv,-0.06285124914890294
Brusko_18337_TCRB.tsv,-0.061552870985107595
Brusko_18338_TCRB.tsv,-0.07850255717916209
Brusko_18340_TCRB.tsv,-0.05817060881735525
Brusko_18342_TCRB.tsv,-0.06350225718648388
Brusko_18343_TCRB.tsv,-0.06324858698851889
Brusko_18344_TCRB.tsv,-0.058587815612694834
Brusko_18346_TCRB.tsv,-0.08141199783334899
Brusko_18348_TCRB.tsv,-0.057940652662174935
Brusko_1838_TCRB.tsv,-0.061311392462608194
Brusko_1840_TCRB.tsv,-0.058986902320561745
Brusko_1841_TCRB.tsv,-0.06834952078341452
Brusko_1842_TCRB.tsv,-0.062442954279014834
Brusko_18483_TCRB.tsv,-0.061320404114619954
Brusko_18484_TCRB.tsv,-0.06126097129532768
Brusko_18618_TCRB.tsv,-0.07518294964028893
Brusko_18721_TCRB.tsv,-0.059346649385031605
Brusko_1874_TCRB.tsv,-0.0627609064444894
Brusko_1876_TCRB.tsv,-0.061326201008581334
Brusko_1878_TCRB.tsv,-0.06544045897725093
Brusko_1879_TCRB.tsv,-0.07013235994774573
Brusko_18804_TCRB.tsv,-0.06217116782006886
Brusko_18805_TCRB.tsv,-0.0758470681946648
Brusko_18895_TCRB.tsv,-0.05811213724422245
Brusko_1904_TCRB.tsv,-0.07964883918644976
